2014/3/20,,186,1,1,高所作業車代,1,,1,12,6000,6000,,15,1,15
2014/3/31,,179,1,994,換気扇木枠　３０Ｃm用,1,,3,3,1350,4050,,1,1,3
2014/4/1,,181,1,932,６００Ｖ　ＣＶケーブル　５．５ｍｍ２ ４Ｃ,1,,40,6,325,13000,,1,1,3
2014/4/1,,180,1,1272,ＶＶＦケーブル　１．６ｍｍ ２Ｃ,22,昭和電線,500,6,39,19500,,2,1,2
2014/4/1,,180,1,182,ＶＶＦケーブル　１．６ｍｍ ３Ｃ,1,,200,6,74,14800,,2,1,2
2014/4/1,,180,1,183,ＶＶＦケーブル　２．０ｍｍ ２Ｃ,22,昭和電線,300,6,72,21600,,2,1,2
2014/4/1,,180,1,184,ＶＶＦケーブル　２．０ｍｍ ３Ｃ,1,,400,6,111,44400,,2,1,2
2014/4/2,,187,1,394,ＦＨＦ３２Ｗ×１　富士型器具,2,,4,2,3180,12720,10600,2,1,2
2014/4/2,,187,1,396,ＦＨＦ３２Ｗ×２　富士型器具,2,,16,2,4770,76320,15900,2,1,2
2014/4/2,,187,1,961,屋外フード　３０Ｃｍ用　樹脂製　防鳥網付,1,,3,3,1485,4455,3300,2,1,2
2014/4/3,,188,1,654,送り付レセプタクルＢ,1,,70,3,130,9100,220,1,1,3
2014/4/3,,188,1,383,パルックボールプレミアＧ１５形　電球色,1,,70,4,1320,92400,,1,1,3
2014/3/19,,161,1,681,ベルマウス３０,1,,2,3,265,530,860,1,1,3
2014/3/19,,161,1,682,ベルマウス４０,1,,1,3,300,300,900,1,1,3
2014/3/14,,161,1,110,フック金物,1,,2,3,195,390,,1,1,3
2014/3/14,,161,1,977,ケーブル埋設標　コンクリート製,1,,1,3,1500,1500,,1,1,3
2014/3/14,,161,1,352,エントランスキャップ　Ｇ２２,1,,2,3,700,1400,1330,1,1,3
2014/3/14,,161,1,347,ＥＧカムカップリング　３０ Ｇ２８,1,,1,3,830,830,,1,1,3
2014/3/14,,161,1,740,コンビネーションカップリング　ＦＥＰ４０ Ｇ３６,1,,1,3,801,801,1290,1,1,3
2014/3/14,,161,1,981,Ｅ８９ポール　先端キャップ,1,,1,3,295,295,420,1,1,3
2014/3/13,,161,1,1,,1,,2,4,6040,12080,,1,1,3
2014/3/13,,161,1,115,アームバンド,1,,2,3,1360,2720,,1,1,3
2014/3/13,,161,1,64,８０Ａ　ステン厚サドルボルト穴,1,,2,3,615,1230,,1,1,3
2014/3/13,,161,1,1,,1,,1,12,1000,1000,,1,1,3
2014/3/13,,161,1,993,白ガス管　８０Ａ,1,,1,4,10800,10800,,1,1,3
2014/3/13,,161,1,987,コの字金物(ラック金物),1,,2,3,215,430,,1,1,3
2014/3/13,,161,1,976,４分×１００ｍｍＢＮ,1,,2,4,120,240,,1,1,3
2014/3/13,,161,1,992,ステンレスバンド　２０ｍｍ×５０ｍ巻,1,,1,8,3400,3400,,1,1,3
2014/3/13,,161,1,111,自在バンド,1,,3,4,330,990,,1,1,3
2014/3/13,,161,1,353,エントランスキャップ　Ｇ２８,1,,1,3,980,980,1850,1,1,3
2014/3/13,,161,1,340,防水プリカ　＃２４,1,,6,6,518,3108,,1,1,3
2014/3/13,,161,1,341,防水プリカ　＃３０,1,,5,6,653,3265,,1,1,3
2014/3/13,,161,1,344,ＥＧカムコネクタ　２４ Ｇ２２,1,,2,3,580,1160,,1,1,3
2014/3/13,,161,1,345,ＥＧカムコネクタ　３０ Ｇ２８,1,,3,3,770,2310,,1,1,3
2014/3/13,,161,1,346,ＥＧカムカップリング　２４ Ｇ２２,1,,2,3,620,1240,,1,1,3
2014/3/13,,161,1,350,ノーマルベンド　Ｚ用　Ｇ３６,1,,3,3,725,2175,,1,1,3
2014/3/13,,161,1,349,カップリング　Ｚ用　Ｇ３６,1,,2,3,225,450,,1,1,3
2014/3/13,,161,1,351,ねじなし防水カップリング　Ｚ用　Ｇ３６,1,,1,3,970,970,,1,1,3
2014/3/13,,161,1,354,ねじなし防水コネクタ　Ｚ用　Ｇ３６,1,,3,3,760,2280,,1,1,3
2014/3/13,,161,1,739,コンビネーションカップリング　ＦＥＰ３０ Ｇ３６,1,,3,3,486,1458,760,1,1,3
2014/3/13,,161,1,805,硬質ビニル電線管　ＶＥ１６　４m　ベージュ,3,未来工業,1,4,315,315,620,1,1,3
2014/3/13,,161,1,715,２号コネクタ　ＶＥ１６　ベージュ,3,未来工業,2,3,69,138,110,1,1,3
2014/3/13,,161,1,220,連結式アース棒　１４φ×１５００,1,,2,4,1800,3600,,1,1,3
2014/3/13,,161,1,219,リード端子　１４φ　２２ｍｍ２,29,,2,4,700,1400,,1,1,3
2014/3/13,,161,1,928,６００Ｖ　ＣＶケーブル　５．５ｍｍ２ ２Ｃ　,1,,9,6,180,1620,,1,1,3
2014/3/13,,161,1,930,６００Ｖ　ＣＶケーブル　５．５ｍｍ２ ３Ｃ,1,,14,6,239,3346,,1,1,3
2014/3/19,,161,1,975,接地極埋設標,1,,2,5,1800,3600,,1,1,3
2014/3/19,,161,1,1,,1,,1,5,250,250,,1,1,3
2014/3/19,,161,1,224,プラシール　１Ｋg,1,,1,3,400,400,,1,1,3
2014/3/19,,161,1,1000,Ｇ２２　ＰＣブッシング,1,,2,3,35,70,55,1,1,3
2014/3/19,,161,1,1001,Ｇ２８　ＰＣブッシング,1,,3,3,50,150,80,1,1,3
2014/3/19,,161,1,1002,Ｇ３６　ＰＣブッシング,1,,3,3,69,207,110,1,1,3
2014/3/19,,161,1,246,ステンレス引込計器盤キャビネット,1,,1,15,34733,34733,72000,1,1,3
2014/3/19,,161,1,243,ポール用金具,1,,1,13,6100,6100,10500,1,1,3
2014/3/19,,161,1,710,厚鋼電線管　Ｇ２８,1,,1,4,1780,1780,,1,1,3
2014/3/19,,161,1,709,厚鋼電線管　Ｇ２２,1,,2,4,1330,2660,,1,1,3
2014/3/19,,161,1,711,厚鋼電線管　Ｇ３６,1,,1,4,1980,1980,,1,1,3
2014/3/12,,138,1,979,ケーブルブッシング,1,,5,3,10,50,18,1,1,3
2014/3/12,,138,1,558,新金属プレート６コ用,2,,1,5,361,361,600,1,1,3
2014/3/12,,139,1,515,テレホンガイド,2,パナソニック電工,10,3,27,270,45,1,1,3
2014/3/11,,130,1,504,埋込ダブルコンセント,2,パナソニック電工,10,3,157,1570,260,1,1,3
2014/3/11,,130,1,547,モダンプレート１２コ用,2,,1,5,399,399,680,1,1,3
2014/3/11,,131,1,495,埋込コンセント,2,パナソニック電工,1,3,86,86,145,1,1,3
