20120092,キャノン変換コネクター納品,2012/11/25,5,,
20120093,蛍光灯納品2012年12月分,2012/12/1,5,2012/12/1,2012/12/31
20120094,第２体育館昇降装置取替工事,2012/12/1,3,2012/12/6,2012/12/6
20120095,年末刃物特価市2012電気設備工事,2012/11/25,38,2012/12/5,2012/12/10
20120096,荒町消雪ポンプ電源工事,2012/11/25,43,,
20120097,消雪ポンプ制御盤取替工事,2012/12/1,47,,
20120098,梅ノ木揚水機場超音波流量計取替工事,2012/12/14,18,,
20120099,佐藤様邸防水コンセント設置工事,2012/12/10,44,,
20120100,小上がり席照明設備改修工事,2012/12/22,48,,
20120101,燕三条地場産業振興センターＬＥＤランプ不具合品交換,2012/10/21,50,,
20120102,ワークセンターしろね図面修正,2012/12/28,42,,
20130001,入口照明不点灯修理,2013/1/4,11,,
20130002,高井歯科医院様電気設備工事,2013/1/9,2,2013/1/31,2013/2/2
20130003,第一体育館水銀灯不点灯修理,2013/1/9,3,,2013/1/18
20130004,柔剣道場照明器具不点灯修理,2013/1/9,3,,2013/1/18
20130005,委託室照明器具取替,2013/1/22,4,,2013/1/24
20130006,ストックバスターズ上越様ライティングレール取付他,2013/1/23,31,,
20130007,うまいもの市電気設備工事,2013/1/24,38,2013/2/21,2013/2/25
20130008,蛍光灯納品2013年1月分,2013/1/13,5,2013/1/1,2013/1/31
20130009,小型電球納品,2013/1/24,4,,
20130010,メッセピア音響設備等点検,2013/1/10,5,,
20130011,リサーチコア音響設備等点検,2013/1/10,5,,
20130012,蛍光灯納品2013年2月分,2013/2/1,5,,
20130013,発電機レンタル,2013/2/6,5,2013/2/21,2013/2/25
20130014,家庭室照明器具取替,2013/2/1,4,,
20130015,展示場レイアウト変更に伴う電気設備修繕,2013/2/1,5,,
20130016,村山大作様邸新築そっくりさん工事,2013/1/31,6,,
20130017,アパマンション引込開閉器取替工事,2013/2/1,43,,
20130018,インバータＡＭラジオノイズ低減用リアクトル設置工事,2013/2/12,51,,
20130019,荒井様宅スイッチ修理,2013/2/21,2,,
20130020,発電機燃料代,2013/2/6,5,,
20130021,大秋排水機場計装機器取付工事,2013/2/20,18,,
20130022,水田低位部第８揚水機場有圧換気扇取付工事,2013/2/20,18,,
20130023,電磁調理器修理,2013/2/1,5,,
20130024,職員玄関照明器具不点灯修理,2013/2/15,4,,
20130025,蛍光灯納品2013年4月分,2013/4/1,5,2013/4/1,2013/4/30
20130026,ドコドア(株)様事務所改装工事,2013/3/1,44,,
20130027,「コスモスＢＰ店」新装工事,2013/3/20,2,2013/3/21,2013/4/2
20130028,マルチメディアホール新スクリーン設置,2013/2/26,5,2013/3/14,2013/3/15
20130029,小嶋康様邸新築そっくりさん工事,2013/4/1,6,,
20130030,第２太平薬局エアコン取替工事,2013/3/15,16,,2013/3/28
20130031,「コスモス」現状回復工事,2013/4/5,2,2013/4/8,2013/4/19
20130032,王風珍様誘導灯設置工事,2013/4/5,2,,2013/4/15
20130033,ＮＭＩ液晶テレビ設置工事(天吊式),2013/3/1,2,,
20130034,ワイヤレスマイクロホン納品,2013/4/15,5,,
20130035,リサーチコア３階電話設備工事,2013/3/10,5,,2013/3/29
20130036,高等部２年２組照明器具取替,2013/4/10,4,,
20130037,佐藤様宅エアコン撤去工事,2013/4/18,24,,2013/4/22
20130038,シエスタ様風除室新設工事,2013/4/26,2,,
20130039,蛍光灯納品2013年5月分,2013/5/1,5,,
20130040,厨房内照明器具取替他,2013/5/7,22,,
20130041,佐藤様宅換気扇設置工事,2013/5/1,6,,
20130042,村山様宅エアコン修理,2013/5/1,6,,
20130043,会長様宅階段照明ランプ交換,2013/4/30,2,,
20130044,小新「sofa」シャンデリア取付工事,2013/5/20,2,,
20130045,ワイヤレスマイクロホン納品,2013/5/21,5,,
20130046,リサーチコア５階男子便所リモコンリレー取替,2013/5/15,5,,
20130047,柔剣道場照明器具修理,2013/5/23,3,,
20130048,海藤邸エアコン取付工事,2013/5/23,6,,
20130049,事務所 多目的ホール間ＬＡＮ配線工事,2013/5/25,5,,
20130050,３階中会議室コンセント取付工事,2013/5/25,5,,
20130051,レストラン内照明設備改修工事,2013/4/26,5,,
20130052,レストラン内誘導灯設置工事,2013/4/8,5,,
20130053,食品庫エアコン修理,2013/5/25,4,,
20130054,ＤＡＭＺ小新店モニター他取外し,2013/5/31,31,,
20130055,鈴木重行様邸新築そっくりさん工事,2013/5/20,6,,
20130056,関口様邸新築工事,2013/6/1,2,,
20130057,蛍光灯納品2013年6月分,2013/6/1,5,,
20130058,管理棟階段非常灯取替,2013/6/6,4,,
20130059,ＤＡＭＺ小新店モニター設置工事,2013/6/20,31,,
20130060,新潟県信用保証協会照明器具取替,2013/6/20,5,,
20130061,居間換気扇取替工事,2013/6/20,19,,
20130062,ＤＡＭＺ小新店手間出し,2013/7/9,31,,2013/7/10
20130063,2013夏のうまいもの市電気設備工事,2013/7/17,38,2013/7/18,2013/7/22
20130064,エバーグリーンリモコンリレー取替工事,2013/7/10,43,,2013/7/17
20130065,男子更衣室照明器具取替,2013/7/22,4,,
20130066,職員室照明器具取替,2013/7/25,3,,
20130067,発電機レンタル,2013/7/15,5,2013/7/18,2013/7/22
20130068,発電機燃料代,2013/7/15,5,2013/7/18,2013/7/22
20130069,蛍光灯納品2013年7月分,2013/7/1,5,2013/7/1,2013/7/31
20130070,ＤＡＭＺ小新店マルチモニター調整,2013/8/8,31,,
20130071,マルチメディアホール照明設備改修,2013/8/8,5,2013/8/16,2013/8/23
20130072,第一体育館ブレーカ故障取替,2013/8/20,3,,
20130073,メタルモール納品,2013/8/19,52,,
20130074,リサーチコア７階リモコンリレー取替,2013/8/19,5,,
20130075,蛍光灯納品2013年8月分,2013/8/1,5,2013/8/1,2013/8/31
20130076,「ｈａｉｒ　ＷＡＴＯＬ」新装工事,2013/8/9,2,2013/9/2,2013/9/28
20130077,燕三条地場産業振興センターＬＥＤランプ不具合品交換【131924】,2013/8/29,53,,2013/8/30
20130078,ＮＭＩさわやか苑新築工事,2013/9/6,2,2013/6/20,2013/10/24
20130079,モスバーガー新潟亀貝店新築工事,2013/9/7,2,2013/9/13,2013/11/29
20130080,蛍光灯納品2013年9月分,2013/9/1,5,2013/9/1,2013/9/30
20130081,展示ケース照明修理,2013/9/1,5,,
20130082,展示ケース用分電盤内コンセント修理,2013/9/6,5,,
20130083,高橋様邸電気工事,2013/9/2,24,,
20130084,清水勝様三和子様新築そっくりさん工事,2013/9/2,6,2013/9/2,2013/12/20
20130085,第一体育館ブレーカ故障取替,2013/10/11,3,,2013/10/15
20130086,向陽薬局外灯不点灯修理,2013/11/1,16,,2013/11/5
20130087,オレンジエール新装工事,2013/11/2,2,2013/11/5,2013/11/13
20130088,リサーチコア７階リモコンリレー取替,2013/11/1,5,,2013/11/6
20130089,蛍光灯納品2013年10月分,2013/10/1,5,2013/10/1,2013/10/31
20130090,蛍光灯納品2013年11月分,2013/11/1,5,2013/11/1,2013/11/30
20130091,市橋様邸エアコン撤去他,2013/11/6,24,,2013/11/16
20130092,ＮＭＩさわやか苑追加工事,2013/10/25,2,,
20130093,ブルーブルーエ新潟駅店新装工事,2013/11/1,2,,2013/11/30
20130094,辻本皮膚科トイレ内人感センサ付スイッチ取付,2013/11/25,2,,
20130095,燕三条じばさん年末刃物フェア2013電気工事,2013/11/1,5,2013/12/4,2013/12/9
20130096,燕三条じばさん年末刃物フェア2013オプション分,2013/11/1,5,2013/12/4,2013/12/9
20130097,燕三条じばさん年末刃物フェア2013電気工事,2013/11/1,38,2013/12/4,2013/12/9
20130098,川瀬様宅脱衣室換気扇取付工事,2013/12/2,44,,
20130099,エアコン用リモコン移設工事,2013/12/2,31,,
20130100,防犯カメラ用カバー取替工事,2013/12/10,54,,
20130101,防犯カメラ用カバー取替工事,2013/12/10,55,,
20130102,防犯カメラ用カバー取替工事,2013/12/10,56,,
20130103,体育館渡り廊下照明器具増設工事,2013/12/13,40,,
20130104,辻本皮膚科外灯回路タイマーＳＷ新設工事,2013/12/13,2,,
20130105,モスバーガー新潟亀貝店追加工事,2013/12/11,2,,
20130106,間野芳夫様邸玄関灯移設等工事,2013/12/24,44,,2013/12/26
20130107,ＵＣＣ万代ショーウィンドウ改装,2014/12/13,2,,
20140001,蛍光灯納品2014年1月分,2014/1/8,5,2014/1/1,2014/1/31
20140002,辻本皮膚科フロアコンセント取付,2014/1/8,2,,
20140003,レストラン内照明スイッチ取替工事,2014/1/8,5,,
20140004,展示即売場什器入替に伴う配線及び電線接続修理,2014/1/8,5,,
20140005,寄宿舎棟２階廊下照明器具修理,2014/1/8,4,,
